Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us
Farzi Café,"North Indian, Mughlai, Italian, Continental, Asian, Fast Food, Desserts, Beverages",4.5,"₹2,500 for two",6.2,"Gomti Nagar, Lucknow","Local Sourcing, Live Sports Screening, Friendly Staff"
Gola Sizzlers,"North Indian, Mughlai, Chinese, Continental, Ice Cream",4.3,"₹2,000 for two",9.8,"Lulu Mall, Lucknow","Impeccable Presentation, Friendly Staff, Comfortable Seating"
Biryani Stock Exchange,"Biryani, North Indian, Momos",3.8,₹600 for two,5.6,"Gomti Nagar, Lucknow","Clean Environment, Cozy Ambiance, Cafe"
Gravy Groovy,"North Indian, Lucknowi, Biryani, Seafood, Fast Food, Continental",4.7,₹700 for two,6.0,"Gomti Nagar, Lucknow","Authentic Flavors, Diverse Menu, Flavorful Creations"
Void Bar & Nightclub,"Continental, Asian, Chinese, Fast Food, Pasta, Pizza, North Indian, Desserts",4.0,"₹1,500 for two",6.1,"Gomti Nagar, Lucknow","Well-priced Options, Variety of Beer, Perfect Place"
L 14 - Renaissance Lucknow Hotel,"North Indian, Mughlai, Continental, Asian, Healthy Food, BBQ, Desserts, Beverages",4.2,"₹3,500 for two",2.5,"Renaissance Lucknow Hotel, Lucknow","Sophisticated, Vintage Decor, Ambiance"
Pandit Ji Ka Dhaba & Family Restaurant,North Indian,3.8,₹500 for two,7.3,"Aliganj, Lucknow","Seasonal Menu, Cafe, Great Service"
Raj Fast Food,"Chinese, Fast Food",4.2,₹200 for two,9.9,"Transport Nagar, Lucknow","Consistent Quality, Good Music, Trendy Setting"
"Gianis - Ice Cream, Shakes & Sundaes","Ice Cream, Desserts, Shake, Beverages",3.6,₹250 for two,1.2,"Hazratganj, Lucknow","Brewed Beer, Seasonal Menu, Main Course"
Yadav Dhaba,North Indian,3.4,₹300 for two,8.2,"Gomti Nagar, Lucknow","Comfortable Seating, Cozy Ambiance, Attentive Service"
Non Veg Corner & Veg Fast Food,Mughlai,3.9,₹600 for two,7.6,"Rajajipuram, Lucknow","Main Course, Vintage Decor, Cozy Ambiance"
Shri Nathji Bhojanalaya,"North Indian, South Indian, Chinese",4.1,₹350 for two,4.2,"Charbagh, Lucknow","Brewed Beer, Quantity, Local Sourcing"
Trinkster,"Fast Food, Sandwich, Burger, Shake, Beverages",4.4,₹450 for two,4.6,"Gomti Nagar, Lucknow","Diverse Menu, Quantity, Customizable Dishes"
The American Pizza,"Pizza, Fast Food, Beverages",3.5,₹350 for two,4.6,"Indira Nagar, Lucknow","Ambience, Ambiance, Hospitality"
The Food Factory,"North Indian, Mughlai, Beverages, Ice Cream",4.2,₹600 for two,5.0,"Indira Nagar, Lucknow","Brewed Beer, Hospitality, Staff"
Baskin Robbins - Ice Cream Desserts,"Ice Cream, Desserts, Beverages",3.9,₹500 for two,1.5,"Mahanagar, Lucknow","Vintage Decor, Cafe, Variety of Beer"
ICDC-Influence Car Dining Cafe,"Pizza, Pasta, Fast Food, Momos, Beverages, Desserts",3.8,₹150 for two,6.0,"Gomti Nagar, Lucknow","Attentive Service, Live Sports Screening, Courteous Staff"
The Dragon Pizza Point,"Pizza, Burger, Sandwich, Fast Food, Street Food",New,₹300 for two,7.1,"Gomti Nagar, Lucknow","Consistent Quality, Young Crowd, Cozy Ambiance"
The Grand Orion,"North Indian, South Indian, Chinese, Desserts, Juices, Beverages",-,"₹1,000 for two",6.4,"Gomti Nagar, Lucknow","Exquisite Taste, Ambience, Innovative Dishes"
Lambardar Haandi Restro,"North Indian, Mughlai",-,₹500 for two,9.4,"Aashiana, Lucknow","Local Sourcing, Ambiance, Impeccable Presentation"
Cafe De Leila,North Indian,4.0,₹300 for two,4.8,"Gomti Nagar, Lucknow","Great Service, Weekend Brunch, Ambience"
Chai Mera Yaar,"Momos, Pizza, Burger, Sandwich, Street Food, Tea, Shake, Beverages",3.9,₹400 for two,5.3,"Indira Nagar, Lucknow","Delicious Food, Friendly Staff, Inviting Decor"
Apna Adda,"North Indian, Chinese, South Indian, Fast Food, Desserts, Beverages",3.1,₹500 for two,7.8,"Gomti Nagar, Lucknow","Staff, Local Sourcing, Inviting Decor"
Wok N Roll,"Chinese, Rolls",4.2,₹450 for two,7.0,"Gomti Nagar, Lucknow","Consistent Quality, Brewed Beer, Main Course"
Hotspot Restaurant,"North Indian, Chinese, South Indian",3.6,₹600 for two,3.2,"Nirala Nagar, Lucknow","Good Bartenders, Brewed Beer, Breakfast"
Shriji Foods,"North Indian, Street Food",3.9,₹200 for two,3.7,"Aminabad, Lucknow","Inviting Decor, Sustainable Practices, Warm Atmosphere"
DFC,"Healthy Food, Salad, Sandwich, Shake, Beverages",3.9,₹350 for two,6.5,"Alambagh, Lucknow","Trendy Setting, Innovative Dishes, Clean Environment"
Mr Bajra,"North Indian, Chinese, Street Food, Fast Food, Beverages",3.8,₹450 for two,2.0,"Mahanagar, Lucknow","Courteous Staff, Ambiance, Authentic Flavors"
Lucknow Bakery,Bakery,3.6,₹600 for two,3.0,"Aliganj, Lucknow","Diverse Menu, Courteous Staff, Breakfast"
Aafaan,"Biryani, Mughlai, Burger, Rolls, Kebab",4.0,₹350 for two,4.7,"Indira Nagar, Lucknow","Ambiance, Inviting Decor, Vintage Decor"
Burger Planet & Restaurant,"Fast Food, North Indian, Burger, Beverages",3.9,₹300 for two,5.3,"Aliganj, Lucknow","Authentic Flavors, Trendy Setting, Innovative Dishes"
Foodie Pizza - Baked With Love,"Momos, Chinese, Pizza, Pasta, Shake",3.5,₹300 for two,16.4,"Transport Nagar, Lucknow","Seasonal Menu, Attentive Service, Courteous Staff"
Ayushmaan Bakery & Cafe,"Bakery, Fast Food, Desserts, Cafe",3.9,₹250 for two,8.5,"Aashiana, Lucknow","Ambiance, Live Sports Screening, Sophisticated"
Pizza Cornar,"Pizza, Fast Food",3.9,₹350 for two,6.3,"Jankipuram, Lucknow","Local Sourcing, Comfortable Seating, Consistent Quality"
The Burger Caffe,"Burger, Fast Food, Desserts, Beverages, Sandwich, Wraps, Pizza",3.9,₹300 for two,3.0,"Indira Nagar, Lucknow","Ambience, Satisfying Portions, Breakfast"
Azamgarh Mutton Do Pyaza,"North Indian, Biryani, Mughlai",3.5,₹450 for two,2.6,"Aliganj, Lucknow","Authentic Flavors, Exquisite Taste, Trendy Setting"
Al-Baik.Com,"Shawarma, Burger, Fast Food, North Indian",3.9,₹400 for two,9.5,"Transport Nagar, Lucknow","Well-priced Options, Customizable Dishes, Memorable Experience"
Bells & Pepper,"North Indian, Chinese, Pizza, Fast Food, Street Food, Shake, Beverages, Ice Cream",3.9,₹300 for two,8.1,"Aashiana, Lucknow","Sustainable Practices, Innovative Dishes, Vintage Decor"
Yummy In The Tummy,"North Indian, Chinese, Rolls, Pizza, Fast Food",-,₹350 for two,6.0,"Jankipuram, Lucknow","Seasonal Menu, Staff, Clean Environment"
The Brother Hood,"North Indian, Biryani, Chinese, Rolls, Mughlai",-,₹800 for two,3.6,"Aliganj, Lucknow","Vintage Decor, Comfortable Seating, Ambiance"
Sky Face Restaurant,"North Indian, Italian, Chinese, Fast Food, Street Food, Biryani, Shake, Beverages",-,₹600 for two,4.9,"Indira Nagar, Lucknow","Consistent Quality, Quantity, Brewed Beer"
The Smoke House Cafe,"Chinese, Sandwich, Fast Food, Beverages",-,₹600 for two,4.9,"Indira Nagar, Lucknow","Good Bartenders, Breakfast, Clean Environment"
The Outcider Cafe & Lounge,"North Indian, Chinese, Continental, Biryani, Italian, Burger, Fast Food, Beverages",-,₹500 for two,11.8,"Aliganj, Lucknow","Seasonal Menu, Sustainable Practices, Staff"
Big Buns,"Fast Food, Sandwich, Italian, Beverages",2.9,₹500 for two,1.8,"Nishatganj, Lucknow","Consistent Quality, Efficient Service, Weekend Brunch"
Knightriders Kitchen,"North Indian, Mughlai, Beverages",3.8,₹400 for two,6.3,"Alambagh, Lucknow","Ambiance, Creative Cuisine, Diverse Menu"
Global Tummy,"Fast Food, Beverages, Sandwich, Shake",3.9,₹400 for two,7.3,"Gomti Nagar, Lucknow","Perfect Place, Hospitable Staff, Sophisticated"
Down Town Cafe,"Chinese, Italian, Fast Food, North Indian, Continental, Beverages, Desserts",3.8,₹600 for two,6.4,"Gomti Nagar, Lucknow","Clean Environment, Sustainable Practices, Comfortable Seating"
Fauji Dhaba- Sitapur Road,North Indian,-,₹300 for two,11.3,"Jankipuram, Lucknow","Good Bartenders, Trendy Setting, Inviting Decor"
Heavens Pizza,"Pizza, Fast Food, Continental, Burger, American, Italian",3.5,₹400 for two,7.1,"Gomti Nagar, Lucknow","Young Crowd, Innovative Dishes, Diverse Menu"
Mr Bawarchi,North Indian,3.6,₹250 for two,5.3,"Gomti Nagar, Lucknow","Live Sports Screening, Hospitality, Delicious Food"
Mezbaan Mughali Point,"North Indian, Chinese, Mughlai, Fast Food",3.0,₹400 for two,3.5,"Aliganj, Lucknow","Fresh Ingredients, Satisfying Portions, Sophisticated"
Red Dragon,"Chinese, Momos, Shawarma, Fast Food, Street Food, Beverages",3.8,₹350 for two,5.6,"Gomti Nagar, Lucknow","Delicious Food, Fresh Ingredients, Consistent Quality"
Arabecue Pizza,"Pizza, Fast Food",3.8,₹350 for two,4.7,"Aliganj, Lucknow","Memorable Experience, Brewed Beer, Fresh Ingredients"
Rajdhani Hotel,"North Indian, Chinese",3.3,₹300 for two,8.9,"Kanpur Road, Lucknow","Consistent Quality, Good Bartenders, Diverse Menu"
Ksheer Sagar Mishthaan Bhandar,"Mithai, Street Food",3.2,₹400 for two,7.8,"Gomti Nagar, Lucknow","Quantity, Local Sourcing, Peaceful Ambience"
UP 32 Veg & Non Veg Point,"Mughlai, North Indian",3.2,₹400 for two,2.7,"Indira Nagar, Lucknow","Clean Environment, Delicious Food, Diverse Menu"
Just Pizza,"Pizza, Italian, Pasta, Mexican",3.7,₹450 for two,14.8,"Transport Nagar, Lucknow","Breakfast, Sophisticated, Inviting Decor"
Shahi Darbar,"Mughlai, Awadhi, North Indian",3.7,₹400 for two,2.3,"Aliganj, Lucknow","Brewed Beer, Exquisite Taste, Courteous Staff"
Foodies Hub,"North Indian, South Indian, Chinese",3.9,₹300 for two,6.0,"Aashiana, Lucknow","Attentive Service, Live Sports Screening, Innovative Dishes"
Da Pizza Hub,"Pizza, Pasta, Burger, Fast Food, Beverages, Desserts",3.7,₹300 for two,7.4,"Rajajipuram, Lucknow","Clean Environment, Innovative Dishes, Good Bartenders"
Sangam Family Restaurant,North Indian,3.0,₹400 for two,3.5,"Aliganj, Lucknow","Great Service, Local Sourcing, Comfortable Seating"
The Smoke House,"Chinese, Fast Food, Sandwich, Beverages",3.6,₹500 for two,4.9,"Indira Nagar, Lucknow","Main Course, Fresh Ingredients, Clean Environment"
Selffee Chai,"Chinese, Pizza, Burger, Sandwich, Fast Food, Beverages, Tea, Shake",3.3,₹300 for two,7.3,"Gomti Nagar, Lucknow","Ambiance, Flavorful Creations, Seasonal Menu"
Al-Baike,"North Indian, Fast Food, Burger",3.7,₹400 for two,4.7,"Chowk, Lucknow","Breakfast, Cafe, Weekend Brunch"
Burger & Burger,"Burger, Fast Food",3.6,₹300 for two,1.7,"Hazratganj, Lucknow","Breakfast, Impeccable Presentation, Customizable Dishes"
Burritos,"Pizza, North Indian, Chinese, Fast Food, Mexican, Shake",3.7,₹300 for two,3.7,"Nirala Nagar, Lucknow","Comfortable Seating, Trendy Setting, Courteous Staff"
B&C Cafe And Bakery,"Pizza, Bakery",3.5,₹300 for two,6.4,"Chowk, Lucknow","Impeccable Presentation, Local Sourcing, Weekend Brunch"
Caprice - Radisson Lucknow City Center,"North Indian, Continental, South Indian, Sandwich, Wraps, Fast Food, Salad, Desserts",4.3,"₹1,900 for two",2.5,"Aminabad, Lucknow","Cafe, Efficient Service, Innovative Dishes"
Chalte Firte Momos & Special Food,"Momos, Chinese, Pasta, North Indian, Street Food, Shake, Beverages",4.1,₹250 for two,4.8,"Sahara Plaza, Patkapuram, Gomti Nagar, Lucknow","Variety of Beer, Local Sourcing, Good Bartenders"
Jamie's Pizzeria By Jamie Oliver,"Italian, Pizza, Fast Food, Desserts, Coffee, Beverages",4.5,"₹1,200 for two",8.8,"Phoenix Plassio Mall, Lucknow","Consistent Quality, Cozy Ambiance, Exquisite Taste"
Barkaas Indo-Arabic Restaurant,"Arabian, Mughlai, Kebab, Mandi, Fast Food, Salad, Desserts, Beverages",3.0,"₹1,300 for two",2.3,"Aliganj, Lucknow","Efficient Service, Quantity, Great Service"
Oudhyana - Taj Mahal,"Mughlai, Lucknowi, North Indian",4.9,"₹4,200 for two",2.6,"Taj Mahal, Lucknow, Lucknow","Comfortable Seating, Sophisticated, Great Service"
Raahe kitchen+coffee bar,"Cafe, Coffee, Continental, Asian, Italian, Fast Food, Desserts, Beverages",New,"₹2,300 for two",6.0,"Gomti Nagar, Lucknow","Cafe, Delicious Food, Hospitable Staff"
Sky Bar - Renaissance Lucknow Hotel,"Finger Food, Fast Food, Beverages",4.2,"₹3,500 for two",2.6,"Renaissance Lucknow Hotel, Lucknow","Ambiance, Authentic Flavors, Delicious Food"
Laxmi Shudh Shakahari Bhojanalya,North Indian,3.2,₹250 for two,3.1,"Khurram Nagar, Lucknow","Sustainable Practices, Delicious Food, Good Bartenders"
The Sky Kitchen,"North Indian, Mughlai",3.3,₹350 for two,7.7,"Gomti Nagar, Lucknow","Creative Cuisine, Ambiance, Cozy Ambiance"
Pizza Spot's,"Pizza, Fast Food, Beverages",3.1,₹400 for two,6.3,"Aliganj, Lucknow","Creative Cuisine, Comfortable Seating, Well-priced Options"
Hot Pizza Lovers,Pizza,3.5,₹400 for two,18.6,"Kanpur Road, Lucknow","Exquisite Taste, Attentive Service, Main Course"
Laxmi Fast Food Restaurant,"South Indian, Chinese, North Indian, Fast Food, Beverages",3.1,₹300 for two,5.9,"Aliganj, Lucknow","Diverse Menu, Clean Environment, Flavorful Creations"
Bhukkad Point,"Burger, Momos, Pizza, Street Food",3.4,₹300 for two,7.8,"Alambagh, Lucknow","Hospitable Staff, Hospitality, Impeccable Presentation"
Shawarma Hut,"Shawarma, Sandwich, Rolls, Fast Food",3.3,₹300 for two,5.5,"Gomti Nagar, Lucknow","Friendly Staff, Extensive Mocktail Menu, Quantity"
Testy Point,"North Indian, Chinese",3.2,₹350 for two,7.5,"Gomti Nagar, Lucknow","Attentive Service, Weekend Brunch, Courteous Staff"
The Fresh Factory,"Cafe, Italian, Salad, Continental, Healthy Food, Pizza, Pasta, Beverages",4.3,"₹1,200 for two",6.0,"Gomti Nagar, Lucknow","Memorable Experience, Impeccable Presentation, Exquisite Taste"
Kasim Biryani,"Mughlai, North Indian",2.8,₹400 for two,3.1,"Indira Nagar, Lucknow","Young Crowd, Vintage Decor, Peaceful Ambience"
Comesum,"North Indian, Chinese, Fast Food, South Indian, Desserts",2.5,₹350 for two,4.4,"Charbagh, Lucknow","Authentic Flavors, Hospitable Staff, Trendy Setting"
Ramen,"Chinese, Momos, Fast Food, Beverages",-,₹450 for two,5.9,"Chowk, Lucknow","Good Bartenders, Great Service, Memorable Experience"
Desi Kitchen,Chinese,2.8,₹300 for two,5.2,"Gomti Nagar, Lucknow","Extensive Mocktail Menu, Cozy Ambiance, Efficient Service"
Melting Point- Dayal Paradise,"Cafe, Beverages, Italian",3.8,₹800 for two,4.7,"Hotel Dayal Paradise, Gomti Nagar, Lucknow","Ambience, Authentic Flavors, Customizable Dishes"
Cafe Repertwahr,"Chinese, Continental, Sandwich, Burger, Pizza, North Indian, Coffee, Desserts",4.2,"₹1,100 for two",2.6,"Indira Nagar, Lucknow","Customizable Dishes, Courteous Staff, Consistent Quality"
Marksmen,"Chinese, South Indian, Fast Food, Burger, Continental, Desserts, Beverages",3.9,₹600 for two,1.8,"Lalbagh, Lucknow","Courteous Staff, Efficient Service, Hospitable Staff"
Rollarappaa,Rolls,-,₹400 for two,4.2,"Aliganj, Lucknow","Peaceful Ambience, Vintage Decor, Cozy Ambiance"
The Belgian Waffle Co.,"Waffle, Pancake, Desserts, Ice Cream, Beverages",-,₹300 for two,5.2,"Indira Nagar, Lucknow","Trendy Setting, Attentive Service, Delicious Food"
The Happy Plates,"Chinese, Sandwich, Fast Food, Street Food, Pizza, Momos, Desserts, Beverages",3.8,₹650 for two,2.2,"Aliganj, Lucknow","Main Course, Good Music, Quantity"
Tunday Kababi - Since 1905,"Kebab, Biryani, Awadhi, North Indian, Desserts",4.4,₹300 for two,4.3,"Chowk, Lucknow","Perfect Place, Warm Atmosphere, Customizable Dishes"
Plum,"North Indian, Mughlai, Continental, Italian, Oriental, Fast Food, Seafood, Desserts",3.9,"₹3,000 for two",10.8,"Gomti Nagar, Lucknow","Ambiance, Extensive Mocktail Menu, Warm Atmosphere"
Friends Bar And Restaurant,"Chinese, North Indian, Salad, Biryani, Mughlai, Bar Food, Kebab",-,"₹1,600 for two",2.0,"Lalbagh, Lucknow","Seasonal Menu, Sophisticated, Inviting Decor"
Birthday Cake 24*7 Hours,Bakery,-,₹300 for two,6.7,"Shekhpur, Lucknow","Friendly Staff, Satisfying Portions, Authentic Flavors"
Naushijaan,"Biryani, Kebab",-,₹300 for two,3.2,"Husain Ganj, Lucknow","Sophisticated, Live Sports Screening, Exquisite Taste"
The Belgian Waffle Co.,"Waffle, Pancake, Desserts, Ice Cream, Beverages",-,₹300 for two,1.2,"Sapru Marg, Lucknow","Memorable Experience, Good Music, Ambiance"
Pavillion - La Place Sarovar Portico,"North Indian, Mughlai, Chinese, Seafood, Continental, Fast Food, Desserts, Beverages",4.0,"₹2,800 for two",1.3,"La Place Sarovar Portico, Hazratganj, Lucknow","Seasonal Menu, Staff, Impeccable Presentation"
Melting Point,"Cafe, Coffee, Sandwich, Pizza, Fast Food, Bakery",3.9,₹850 for two,6.0,"Gomti Nagar, Lucknow","Seasonal Menu, Memorable Experience, Perfect Place"
Kitchen 11,"North Indian, Chinese, Sichuan",3.8,₹350 for two,5.3,"Aliganj, Lucknow","Satisfying Portions, Breakfast, Cafe"
Dhindhora Fine Dine Restaurant,"North Indian, Chinese, South Indian, Beverages",4.4,"₹1,000 for two",4.0,"Chowk, Lucknow","Clean Environment, Good Bartenders, Creative Cuisine"
Aadab- Dayal Paradise,"North Indian, Continental, Chinese, Sichuan, Desserts, Beverages",4.1,"₹1,400 for two",4.7,"Hotel Dayal Paradise, Gomti Nagar, Lucknow","Cafe, Efficient Service, Staff"
Pizzeria,"North Indian, South Indian, Chinese, Maharashtrian, Burger, Pizza, Beverages, Desserts",New,₹400 for two,5.9,"Gomti Nagar, Lucknow","Vintage Decor, Customizable Dishes, Hospitable Staff"
New Balaji Bhojanalay,"North Indian, South Indian, Chinese",-,₹300 for two,6.9,"Alambagh, Lucknow","Seasonal Menu, Hospitality, Perfect Place"
Shaukeens The Bistro,"Chinese, North Indian, Mughlai, Biryani, Beverages",4.2,"₹1,000 for two",4.1,"Aliganj, Lucknow","Brewed Beer, Impeccable Presentation, Well-priced Options"
Zaika By Gemini Continental Hotel,"Chinese, Mughlai, North Indian, Continental, Japanese, Beverages",4.2,"₹2,500 for two",1.8,"Gemini Continental, Hazratganj, Lucknow","Seasonal Menu, Peaceful Ambience, Cafe"
Wichcraft House Of Sandwiches,"Sandwich, Burger, Pizza, North Indian, Continental, Healthy Food, Salad",4.1,₹600 for two,1.1,"Nirala Nagar, Lucknow","Seasonal Menu, Courteous Staff, Delicious Food"
Al Baik Restaurant,"North Indian, Fast Food",-,₹300 for two,7.9,"Chowk, Lucknow","Clean Environment, Creative Cuisine, Young Crowd"
NH-27 Dhaba,"North Indian, Chinese",-,₹350 for two,8.2,"Gomti Nagar, Lucknow","Staff, Quantity, Innovative Dishes"
Rama Inn Restaurant,"North Indian, Chinese, Mughlai, Biryani, Fast Food",-,"₹1,000 for two",5.9,"Indira Nagar, Lucknow","Attentive Service, Cozy Ambiance, Great Service"
Burger Lane,"Burger, Fast Food, Street Food",-,₹300 for two,9.1,"Kanpur Road, Lucknow","Warm Atmosphere, Great for Dates, Trendy Setting"
Golmo - Street Food Shop,"Street Food, Fast Food, Pizza, Chinese, Burger",-,₹250 for two,6.2,"Jankipuram, Lucknow","Authentic Flavors, Comfortable Seating, Attentive Service"
Soya Chaap 100 % Veg Corner,"North Indian, South Indian, Chinese",-,₹350 for two,3.1,"Triveni Nagar, Lucknow","Exquisite Taste, Consistent Quality, Perfect Place"
Apna Kalika Family Restaurant,"North Indian, Chinese, Mughlai",-,₹400 for two,8.9,"Gomti Nagar, Lucknow","Fresh Ingredients, Staff, Breakfast"
Pizza Italiano,"Pizza, Fast Food, Beverages",-,₹300 for two,2.7,"Indira Nagar, Lucknow","Courteous Staff, Warm Atmosphere, Live Sports Screening"
Arabecue Fried Chicken,"Fast Food, Biryani, North Indian, Mughlai",-,₹500 for two,4.7,"Chowk, Lucknow","Diverse Menu, Good Music, Well-priced Options"
UP 32 Nihari Kulcha,"North Indian, Mughlai, Kebab, Rolls, Momos, Chinese",New,₹400 for two,9.2,"Aashiana, Lucknow","Brewed Beer, Seasonal Menu, Quantity"
Lucknow Handi Chicken,"North Indian, Fast Food, Mughlai",-,₹450 for two,4.5,"Chowk, Lucknow","Variety of Beer, Cozy Ambiance, Satisfying Portions"
My Bar Headquarters,"Asian, North Indian, Fast Food, Italian, European, Chinese, American, Desserts",4.0,"₹1,200 for two",6.0,"Summit Building, Gomti Nagar, Lucknow","Main Course, Creative Cuisine, Memorable Experience"
Hudaba Classic,"North Indian, Continental, Italian, Oriental, Chinese, Pizza, Desserts, Coffee",New,"₹1,250 for two",9.8,"Gomti Nagar, Lucknow","Creative Cuisine, Delicious Food, Customizable Dishes"
Om Veg Corner,"South Indian, Rolls, Kebab",-,₹200 for two,3.8,"Aishbagh, Lucknow","Local Sourcing, Consistent Quality, Good Bartenders"
Wong Shu,"Chinese, Momos",-,₹450 for two,2.2,"Indira Nagar, Lucknow","Cafe, Attentive Service, Brewed Beer"
Qasim Alam Muradabadi Biryani,Biryani,New,₹250 for two,2.5,"Kaiserbagh, Lucknow","Courteous Staff, Great for Dates, Young Crowd"
Vivek's,"North Indian, Biryani, Seafood",-,₹450 for two,7.1,"Alambagh, Lucknow","Attentive Service, Cozy Ambiance, Peaceful Ambience"
Chill Room,"Korean, Chinese, Shake, Beverages",-,₹300 for two,9.6,"Transport Nagar, Lucknow","Inviting Decor, Sustainable Practices, Innovative Dishes"
Wow Shake,"Chinese, Fast Food, Biryani, Shake, Beverages",-,₹600 for two,5.3,"Jankipuram, Lucknow","Courteous Staff, Warm Atmosphere, Ambience"
Hind Kitchen,"North Indian, South Indian, Chinese, Mughlai, Fast Food, Desserts",-,₹900 for two,3.4,"Indira Nagar, Lucknow","Local Sourcing, Good Music, Flavorful Creations"
Amrit Bakery,Bakery,New,₹850 for two,2.1,"Lalbagh, Lucknow","Brewed Beer, Extensive Mocktail Menu, Satisfying Portions"
Fukrey Bitezzz,"Chinese, Momos, Wraps, Fast Food, Street Food",-,₹400 for two,9.7,"Aashiana, Lucknow","Young Crowd, Trendy Setting, Live Sports Screening"
Brij Bakers,"Bakery, Street Food, Fast Food",-,₹600 for two,8.1,"Aashiana, Lucknow","Courteous Staff, Vintage Decor, Great Service"
New Chay Sutta Bar,"Tea, Street Food",-,₹100 for two,10.6,"Aashiana, Lucknow","Trendy Setting, Hospitality, Cozy Ambiance"
Bhookhe Ho Kya,"Chinese, Sandwich, Burger, Street Food",-,₹200 for two,6.5,"Shekhpur, Lucknow","Comfortable Seating, Brewed Beer, Fresh Ingredients"
Annapurna By Anu,"North Indian, Biryani, Chinese, Rolls, Street Food, Beverages",-,₹350 for two,11.2,"Transport Nagar, Lucknow","Extensive Mocktail Menu, Great Service, Creative Cuisine"
Aryamgarh Family Restaurant,"Street Food, North Indian",-,₹300 for two,4.9,"Gomti Nagar, Lucknow","Diverse Menu, Memorable Experience, Breakfast"
Gourmet Ice Cream Cakes by Baskin Robbins,"Desserts, Ice Cream, Bakery",-,₹300 for two,2.3,"Sapru Marg, Lucknow","Flavorful Creations, Delicious Food, Diverse Menu"
Lucknow Bakery,"Bakery, Street Food, Fast Food",-,₹500 for two,3.0,"Triveni Nagar, Lucknow","Consistent Quality, Well-priced Options, Sophisticated"
Massey Food World,"Fast Food, North Indian, Street Food, Chinese, Sichuan",-,₹300 for two,3.1,"Hazratganj, Lucknow","Innovative Dishes, Consistent Quality, Staff"
Sewa Dhaba,North Indian,-,₹200 for two,9.0,"Aliganj, Lucknow","Staff, Good Bartenders, Ambience"
Shake Station,"Shake, Beverages, Fast Food, Sandwich, Desserts",-,₹300 for two,5.3,"Jankipuram, Lucknow","Live Sports Screening, Breakfast, Delicious Food"
Maya Restro Bistro,"Pizza, Burger, Sandwich, Italian, Street Food, Shake",-,₹300 for two,8.9,"Alambagh, Lucknow","Hospitable Staff, Sophisticated, Inviting Decor"
Baithakk - The Chai Adda,"Tea, Chinese",-,₹350 for two,4.5,"Chowk, Lucknow","Comfortable Seating, Warm Atmosphere, Extensive Mocktail Menu"
Raj Darbaar,"Biryani, North Indian, Mughlai, Rolls",-,₹350 for two,4.5,"Indira Nagar, Lucknow","Good Bartenders, Sustainable Practices, Diverse Menu"
Food Galaxy,"North Indian, Mughlai, Biryani, Seafood, Kebab, Rolls",New,₹500 for two,5.1,"Khurram Nagar, Lucknow","Warm Atmosphere, Variety of Beer, Satisfying Portions"
Grill House,"BBQ, Rolls, Momos",-,₹300 for two,2.9,"Indira Nagar, Lucknow","Weekend Brunch, Variety of Beer, Great for Dates"
Ka Ka Kulhad Delicacies,"Pizza, Lebanese, Sandwich, Pasta, Biryani, Fast Food, Shake",-,₹350 for two,3.5,"Indira Nagar, Lucknow","Satisfying Portions, Young Crowd, Creative Cuisine"
Purnima Gold Restaurant - Hotel New Ram Krishna,"North Indian, Chinese, Sandwich, Fast Food, Ice Cream, Beverages",-,₹500 for two,1.8,"Hazratganj, Lucknow","Variety of Beer, Vintage Decor, Quantity"
Special Pizza Day,Pizza,New,₹200 for two,2.9,"Khadra, Lucknow","Memorable Experience, Flavorful Creations, Impeccable Presentation"
Desi Pakwan,"North Indian, Biryani, Mughlai",-,₹500 for two,4.5,"Indira Nagar, Lucknow","Clean Environment, Customizable Dishes, Sustainable Practices"
Jai Maa Durga Bhojanalya,North Indian,New,₹200 for two,7.3,"Gomti Nagar, Lucknow","Attentive Service, Fresh Ingredients, Trendy Setting"
Al Baik Xpress,"Lucknowi, North Indian",-,₹300 for two,5.0,"Chowk, Lucknow","Local Sourcing, Extensive Mocktail Menu, Authentic Flavors"
Romano's Pizza,"Pizza, Fast Food",-,₹350 for two,11.1,"Gomti Nagar, Lucknow","Hospitality, Impeccable Presentation, Warm Atmosphere"
Doodle ‘D’ Noodle,"Chinese, North Indian",-,₹450 for two,2.7,"Indira Nagar, Lucknow","Innovative Dishes, Great Service, Flavorful Creations"
Purwanchal Food Point,"North Indian, Street Food, Fast Food, Beverages",-,₹400 for two,7.2,"Gomti Nagar, Lucknow","Diverse Menu, Efficient Service, Ambiance"
The Vyanjan,"North Indian, Fast Food",-,₹250 for two,7.2,"Indira Nagar, Lucknow","Live Sports Screening, Fresh Ingredients, Staff"
Mansa Tea Stall,Beverages,-,₹100 for two,8.6,"Aashiana, Lucknow","Young Crowd, Well-priced Options, Creative Cuisine"
Bacon Babe,"Burger, Fast Food, Beverages",-,₹400 for two,3.9,"Indira Nagar, Lucknow","Breakfast, Fresh Ingredients, Hospitable Staff"
Happy Bakery,"Bakery, Desserts",-,₹200 for two,8.3,"Kanpur Road, Lucknow","Delicious Food, Comfortable Seating, Weekend Brunch"
